"Category","Sub Category","Item","Done","Subtask","Subtask Done","Subtask Hidden","ASVS","Description","Tools","Links","Applicability","Sources","Tags","Priority","Hidden","Subcategory Notes"
"Authentication Verification Requirements (V2)","Password Security Checks","Passwords should be able to contain spaces and not be truncated","FALSE","","","","2.1.3","Passwords should accept whitespace characters (spaces) as valid input and handle them correctly (no trimming or truncating). Users may use passphrases with spaces. The system should not remove leading/trailing spaces or cut off the password at a space, as this effectively changes the user’s input.","Manual steps: Attempt to set a password with spaces, e.g. ""Correct Horse Battery Staple"" (include a leading or trailing space as well to test trimming). Verify the application accepts it and you can log in using the exact same spacing.; Test edge: include multiple consecutive spaces (""Password  with  double  spaces"") and see if they are preserved. After setting such a password, try logging in with one space versus two to see if the app accidentally collapsed them.; Check for trimming: set a password with a space at the beginning or end (if UI allows) – after setting, try logging in without the space or with it to deduce if it was trimmed on storage or comparison. Tools: Burp Proxy, Custom Login Script Combo: This test is part of checking password character allowances (in the **Password Policy Pack**). Combine it with tests for unicode characters: e.g., set a passphrase with spaces and an emoji to cover multiple requirements in one go.","- **NIST SP 800-63B** – Allows all ASCII, including space, and forbids truncation:contentReference[oaicite:63]{index=63}.
- **OWASP Cheat Sheet** – Passwords should be handled as entered; trimming can weaken or alter user-chosen secrets:contentReference[oaicite:64]{index=64} (implied by NIST guidance to count every character, incl. spaces).","Applies to any password-based authentication. N/A only if no passwords are used. (Even PINs could have spaces theoretically, though usually not.) Most modern systems should allow spaces; if one doesn’t, it’s usually considered a design flaw rather than a reason for N/A.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","Passwords should be able to contain unicode characters","FALSE","","","","2.1.4","Users should be allowed to include Unicode characters (non-ASCII, like ü, 世界, or even emoji) in passwords. This increases the pool of characters (potentially improving entropy) and is important for internationalization. The application must handle multi-byte characters properly and not restrict passwords to just A-Z letters or digits.","Manual steps: Choose a test password with various Unicode characters (e.g., ""Pässw🔑rd東京"" — contains an umlaut, an emoji, and non-Latin characters). Attempt to set this as the password.; Verify that the application accepts it and that you can log in with the exact same sequence of characters.; If the application uses email or other channels (like confirmation emails or logs) to echo the password (generally it shouldn’t echo passwords at all), check that these characters didn’t get garbled or replaced, as that could hint at encoding issues. Tools: Burp Suite, Charset Browser Extension Combo: Part of **Password Policy Pack** – you can combine this with the spaces test: e.g., try a long passphrase in Chinese with spaces, or an emoji plus normal characters. This way, one test covers length, unicode, and spaces altogether.","- **NIST SP 800-63B** – Recommends accepting Unicode characters in passwords (to accommodate all user choices):contentReference[oaicite:66]{index=66}.
- **OWASP Cheat Sheet** – Passwords: advise allowing all Unicode and handling normalization properly:contentReference[oaicite:67]{index=67} (to avoid authentication issues with different forms).","Applies to any system with passwords. N/A only if no passwords are in use. For systems targeting only English-speaking/internal audiences, sometimes Unicode might not be considered, but it still should be allowed; it’s a best practice rather than functional necessity in some contexts. If an embedded device or legacy system truly cannot handle it (rare in web apps), that’s a separate issue, not just N/A.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","Users should be able to change their passwords","FALSE","","","","2.1.5","The system provides a mechanism for authenticated users to change their password. This is a standard feature to allow password rotation (on user demand or if compromised). A secure implementation will require the user’s current password for confirmation and will update credentials securely.","Manual steps: Log in as a regular user. Navigate to the profile or account settings – confirm there is an option to change password.; If available, attempt to change the password: provide the current password and a new password. Verify that the change is successful and the new password works for next login.; Test that the current password is required: try the change while providing a wrong current password – it should be rejected (this checks V2.1.6 as well, current password verification). Tools: OWASP ZAP (Forced Browse), Postman/REST client Combo: The **Account Management Pack**: After testing login, proceed to test password change and then immediately test login with old vs new password to ensure the change took effect and old creds are invalid. Also ties in with testing session management (some apps log out all sessions after a password change).","- **OWASP ASVS 4.0** – V2.1.5: “Verify users can change their password.”:contentReference[oaicite:70]{index=70}.
- **OWASP WSTG** – Testing for Password Change: ensure functionality exists and isn’t weak (e.g., requires current password, etc.):contentReference[oaicite:71]{index=71}:contentReference[oaicite:72]{index=72}.","Nearly all apps with passwords should allow changes. Only N/A if accounts are very short-lived or non-user-maintained (for example, IoT devices with fixed creds – but that’s not a web app scenario typically). For a read-only account scenario (no user accounts at all, or third-party login only), this is N/A. Otherwise it’s expected.","https://owasp.org/www-project-application-security-verification-standard/; https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/04-Authentication_Testing/09-Testing_for_Weak_Password_Change_or_Reset_Functionalities","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","Password change functionality should require the old password","FALSE","","","","2.1.6","When changing a password, the user must provide their current password as confirmation. This prevents an attacker who somehow gains a user's session (but not their credentials) from changing the password without knowledge of the old one. It’s a safeguard against unauthorized password changes.","Manual steps: Go to the password change form. See if it asks for the current password (old password) along with the new password entries. If it only asks for a new password (and confirmation) but no field for the old password, that’s a red flag.; Even if the form has an old password field, test enforcement: input an incorrect current password and a valid new password – the application should reject this attempt.; If possible, test via alternate paths (e.g., mobile app or direct API call). Some APIs might allow password update by providing a token or just a session, without current password. Attempt to call the API without sending the old password or with a wrong one to see if it succeeds (which it shouldn’t). Tools: Intercepting Proxy (Burp/ZAP), Automation script using cURL/HTTP library Combo: Link this with the **Account Management Pack**: when testing password change, include a test where you omit or falsify the old password to ensure the check is in place. Also combine with session hijack testing: if you steal someone’s session, can you change their password? The old-password requirement should stop that unless the attacker also knows the current password.","- **OWASP ASVS 4.0.3** – V2.1.6: Ensure current password is needed for any password change:contentReference[oaicite:74]{index=74}.
- **OWASP WSTG** – Password Change Testing: highlights need for re-authentication (current password) during password change:contentReference[oaicite:75]{index=75}.","Applies if password change functionality exists (which it should in most cases; see previous item). If an app truly has no user-driven password change (e.g., accounts are managed externally), then this is N/A or covered by those external processes. But for any internal password change feature, it must be in scope.","https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/04-Authentication_Testing/09-Testing_for_Weak_Password_Change_or_Reset_Functionalities; https://owasp.org/www-project-application-security-verification-standard/","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","Passwords should be checked against breached passwords  list","FALSE","","","","2.1.7","The application should detect and disallow passwords known to be compromised or very common (often by using a breached password list like Have I Been Pwned). This prevents users from choosing passwords that attackers could guess easily from dictionaries of leaked credentials.","Manual steps: Attempt to set a known weak password that is likely in breach lists (e.g., ""Password123"", ""Winter2023!"", or something like ""qwerty""). The application should reject these with a message about password too common or breached.; Test a few from actual breach datasets (if possible). You can take some top 10 common passwords (""12345678"", ""welcome1"", etc.). Try to change a test account’s password to each. If they all go through without complaint, the breach check might not be in place.; If the app provides a strength meter or feedback, see if it flags these as “too weak” or explicitly says not allowed due to breach. Some apps silently reject with a generic error; others explicitly mention it's a common password – note what behavior you see. Tools: Have I Been Pwned (offline list), Burp Intruder Combo: Could integrate into a **Password Strength Pack**: after testing min/max and allowed chars, test a few extremely weak but valid-format passwords. It can be done in one flow if the application doesn’t lock you out: e.g., try changing password sequentially to 'Password1', then 'Password2!', etc., to see if any are blocked for being too common.","- **NIST SP 800-63B** – Advises screening passwords against known compromised lists:contentReference[oaicite:77]{index=77}:contentReference[oaicite:78]{index=78}.
- **OWASP Cheat Sheet** – Passwords: Use of blocklists (common passwords, leaked passwords) to improve security:contentReference[oaicite:79]{index=79}.","If users set their own passwords, this should be in effect. Only N/A if password choices are entirely system-generated or otherwise out of user control (e.g., OTP only systems). Even then, if users can ever choose a password, this applies. If an app is offline or in an environment where breached lists aren’t updated or available (e.g., classified network), they might not implement it, but still applicable theoretically.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","A password strength meter should be supplied","FALSE","","","","2.1.8","The user interface should provide feedback on password strength as users create or change passwords. A strength meter (often a visual bar or text indicator) helps users choose better passwords by estimating how guessable or complex their password is. It’s a defense-in-depth UX feature to encourage strong passwords.","Manual steps: Go to the password creation or change screen in the web app. As you type a new password, observe if any meter or feedback appears. For example, does a colored bar fill up or a label say 'Weak/Medium/Strong'?; Test a few scenarios: type 'abcd' – does the meter show very weak? Type a long complex passphrase – does it show strong? This checks if it’s functioning and somewhat accurate.; Confirm the meter updates in real time (many do as you type). If not immediate, maybe it appears on form submission (less ideal but sometimes a thing). Tools: Browser inspection, ZAP or Burp (Script) Combo: This could be part of a **User Experience Security Pack**: not purely security but if checking compliance with ASVS, you'd note presence of meter. It's often checked alongside other UI features like showing a caps-lock warning or two-factor enrollment prompts. However, it's more of a standalone check – ensure the meter exists and is helpful.","- **OWASP ASVS 4.0** – V2.1.8: Recommends providing a password strength meter to assist users:contentReference[oaicite:81]{index=81} (mapping via OpenCRE indicated WSTG-ATHN-07 covers this):contentReference[oaicite:82]{index=82}.
- **NIST 800-63B (Informative)** – Suggests giving guidance like a strength meter to users as they choose secrets:contentReference[oaicite:83]{index=83}.","Applicable to any user-facing password set/change interface. Not applicable if users never choose passwords (like completely federated login). If an API-only system with no UI, you obviously can't have a meter, so that’s effectively N/A in context (though their clients could implement one).","https://pages.nist.gov/800-63-3/sp800-63b.html; https://www.opencre.org","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","No password complexity rules should be enforced","FALSE","","","","2.1.9","The application should avoid arbitrary complexity requirements (like “must include an uppercase, a number, and a symbol”). Modern guidance (NIST, OWASP) says these rules don’t necessarily improve security and often frustrate users. Instead of complexity rules, the focus should be on length and not using known-bad passwords. So this item means that the system should not *force* a mix of character types beyond what is needed.","Manual steps: Review the password policy as stated in the UI or requirements. If it says something like “Password must have 1 uppercase, 1 number, 1 special char”, that indicates complexity rules *are* enforced (which is a fail for this requirement).; Try setting a password that is otherwise strong but maybe missing one of the traditional requirements. For example, all lower-case 15-character password (which is actually fine per new standards). If the system rejects it saying “must include uppercase”, then it is enforcing complexity rules.; Conversely, try a simple password that meets complexity format (e.g., ""Password1!""). See if the system accepts it (it might, if only format is checked and not actual strength). That combination being accepted while a long simpler phrase was rejected confirms they favor complexity rules over true strength. Tools: Policy documentation review, Automated wordlist test Combo: This is somewhat the inverse of some earlier tests – included in **Password Policy Pack** as a verification that a passphrase like ""correct horse battery staple"" (which has no uppercase or digits) is accepted because it’s long, for example. If it’s rejected for not having a number, that flags an issue.","- **NIST SP 800-63B** – Explicitly recommends against composition rules (requiring specific character types):contentReference[oaicite:84]{index=84}:contentReference[oaicite:85]{index=85}.
- **OWASP ASVS** – V2.1.9: Ensures no obsolete complexity policy (like forcing symbol/number) is in place, aligning with NIST.","If users set passwords, this applies. Mark N/A only if password setting is out of scope (no local passwords). If the application does have complexity rules, that’s a finding (non-compliance with this item), not a reason to skip it. So basically always applicable unless no passwords in use.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","No periodic password rotation or history requirements should be enforced","FALSE","","","","2.1.10","Users should not be forced to change passwords regularly (e.g., every 90 days) absent a reason, and the system should not require remembering a large history of old passwords. Modern best practice says periodic password expiration often harms security (users choose weaker variants). Instead, focus on other controls (breach detection, MFA). So this requirement means the app should not implement mandatory periodic rotations or overly strict password history reuse rules.","Manual steps: Identify if the application has an expiration policy: this might be in the security settings or terms. Sometimes during initial login or in user profile it might say 'Password expires in X days'. If testable, create a user and see if there's any indication of expiration (often not easily testable in short-term).; If you have admin access or config access in a test environment, check if password expiration settings are turned on. Otherwise, it’s likely a policy question: ask the devs or read documentation.; For password history, attempt to reuse an old password when changing: e.g., change password from A to B, then later try changing back to A. If the system says 'you cannot reuse recent passwords', that indicates a history enforcement. ASVS discourages forcing a long history. A short history (like disallow immediate reuse of last password) might be okay in practice, but ASVS ideally says not to enforce history at all, aside from not reusing the current one. Tools: Application admin panel or config dump, Interview/QA Combo: This often comes up in a **Policy Review Pack** rather than active exploit pack. It pairs with the complexity rule check because both are about modern password policy. You could combine them in reporting: e.g., 'The application enforces periodic expiry and complexity, which is against modern best practices.'","- **NIST SP 800-63B** – Clearly states not to require periodic password changes without evidence of compromise:contentReference[oaicite:87]{index=87}:contentReference[oaicite:88]{index=88}.
- **OWASP ASVS** – V2.1.10 aligns with NIST that periodic expiry policies are discouraged (only enforce change if breach suspected).","If the application has user passwords, this is applicable. It's a policy that either exists or not. Mark N/A only if password expiration is not applicable (again, in passwordless scenarios or external auth where rotation isn't controlled by the app). If the app does have a rotation policy, that's a finding (non-compliance with this item).","https://owasp.org/www-project-web-security-testing-guide/v42/4-Web_Application_Security_Testing/04-Authentication_Testing/07-Testing_for_Weak_Password_Policy; https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","Pasting into password prompts should not be blocked","FALSE","","","","2.1.11","Users should be allowed to paste passwords into login forms. Blocking paste is a misguided practice that aims to prevent copy-paste of passwords (perhaps thinking it stops certain attacks), but in reality it hinders the use of password managers and encourages weaker passwords. So the application should not disable paste in password fields.","Manual steps: On the login page (or any password input), try copying a password and pasting it into the field. If paste is blocked, either nothing will happen or perhaps an alert will show. Some sites use JavaScript to prevent paste events.; If paste is blocked, open browser dev tools and inspect the input element: look for attributes like `onpaste=""return false""` or scripts that attach an event handler to prevent pasting. That confirms an intentional block.; Test multiple browsers if you suspect it: occasionally one browser might enforce it differently (but usually it's a simple JS that affects all). Tools: Browser Developer Tools, Automation (Selenium) Combo: This can be part of a **Password UX Pack** alongside checking for strength meter and show/hide functionality. It’s all about ensuring the app is user-friendly for secure password practices. Not a vulnerability exploitation, but an important checklist item.","- **NIST SP 800-63B** – Encourages allowing paste for passwords to facilitate use of password managers:contentReference[oaicite:90]{index=90}.
- **OWASP Cheat Sheet** – Password usability: don’t prevent paste (it's user-hostile and doesn’t improve security):contentReference[oaicite:91]{index=91}.","Any web application login or password field. N/A only if there literally are no password inputs (e.g., passwordless only). For most apps, this is applicable and should be adhered to.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Password Security Checks","Users should be able to view their masked password temporarily when entering it","FALSE","","","","2.1.12","The login or password entry form should offer a 'show password' option (often a little eye icon) to let users verify what they typed. This reduces errors and frustration, helping usability without significantly harming security (especially if it’s a momentary toggle). ASVS recommends this feature to improve user experience and reduce login failures.","Manual steps: On any page where you enter a password (login, registration, change, etc.), look for a 'show password' icon (often a little eye or checkbox 'Show Password').; If it exists, click it while typing to ensure it actually reveals the password characters. Confirm that when you release or toggle off, it goes back to masked (• bullets).; If no such option exists, then this requirement is not met. Note the absence. Tools: Visual Inspection, Browser dev tools Combo: Combine this check with the earlier **Password UX Pack** (paste allowed, strength meter, etc.). It’s all part of evaluating the user-friendliness of the authentication interface.","- **NIST SP 800-63B** – Allows display of entered password characters briefly or on toggle to aid user entry:contentReference[oaicite:92]{index=92}.
- **UX Guidelines** (Microsoft/Google) – Commonly endorse show/hide password feature for better usability (though not an OWASP doc, it’s industry practice). ASVS reflects this as a requirement.","Any app with a password field on screen. If there's no UI (like pure API), then N/A because there's nothing to 'show'. If password entry is in scope (which for web apps it is), then this should be in place.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","Anti-automation controls against authentication attempts (rate limits, delays, lockouts, CAPTCHA)","FALSE","","","","2.2.1","The authentication mechanism should detect and throttle or block automated brute-force attempts. This can include measures like rate limiting login attempts (e.g., only X attempts per minute), introducing delays or CAPTCHAs after several failures, or locking accounts after a threshold to slow down guessing. The goal is to mitigate credential stuffing or password spray attacks.","Manual steps: Pick a valid user account (preferably a test account) and intentionally attempt login with incorrect passwords repeatedly in a short time.; Observe the behavior after a number of failures: do error messages change? Does the application start requiring a CAPTCHA or completely lock the account? Or does it continue to allow unlimited attempts (bad)?; If account lockout occurs, note the threshold (e.g., locked after 5 failures for 5 minutes). Also test if the account auto-unlocks after some time or requires manual intervention. Tools: Burp Intruder, Hydra/medusa (or similar) Combo: This fits into an **Authentication Resilience Pack**: you could combine testing this with multifactor and default credential tests. For instance, first enumerate a valid username (or use a test one), then attempt rapid wrong logins to see the defense, then try a known common password for multiple users to mimic credential stuffing (ensuring the app detects that pattern).","- **OWASP WSTG** – Testing for brute force mitigation: ensure lockout or throttling exists:contentReference[oaicite:93]{index=93}:contentReference[oaicite:94]{index=94}.
- **NIST SP 800-63B** – Recommends a rate-limiting mechanism or lockout after multiple failed logins:contentReference[oaicite:95]{index=95}:contentReference[oaicite:96]{index=96}.","Applies to any authentication system. N/A for systems that don’t have login (which is rare). For APIs, it applies as well – they should have some rate limiting on auth endpoints. If the app uses SSO, the IdP should have these controls (so you’d verify at that IdP).","https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/04-Authentication_Testing/09-Testing_for_Weak_Password_Change_or_Reset_Functionalities; https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","Weak authenticators (SMS/email) should be limited to a secondary verification","FALSE","","","","2.2.2","If the application uses out-of-band authenticators like SMS or email codes, those should not be the only factor for high-security authentication. They should be used only as a second factor or for notifications, since SMS and email can be insecure (SMS can be SIM-swapped, emails can be compromised). Essentially: do not rely solely on SMS or email as primary auth credentials; use them in MFA context only.","Manual steps: Identify how the application’s authentication works: does it offer MFA via SMS or email code? Or does it use SMS/email as primary login (some apps send a magic link via email to log in – that’s passwordless via email, which is borderline here).; If SMS/email is used for MFA, ensure that it’s indeed a second step after password, not the only thing. For instance, check that the user still has a password or primary factor and that SMS code is an additional verification.; If the app allows login by just an email link (magic link) or just an SMS code (some phone apps do that), note that as violating this requirement for sensitive contexts. However, magic links are increasingly common – ASVS might consider those okay if properly implemented (they’re akin to a token delivered out-of-band). The key is whether it's suitably secure for the context (if high-value, then maybe not). Tools: Review authentication flows, SIM swap social engineering (NOT actually performed) Combo: This check goes with **MFA Design Review Pack**: evaluate all offered factors – are any of them considered weak? Ensure any weak factor (SMS, email links) is not alone. E.g., if the app has 'email me a code to log in', that’s a single-factor via email – report it. Combine with 2.2.4 (MFA keys etc.) to see if stronger options are available or enforced.","- **NIST SP 800-63B** – Rates SMS and email as “restricted” authenticators – they are allowed for second factor (AAL2) but considered weaker:contentReference[oaicite:99]{index=99}.
- **OWASP MASVS / Authentication Cheat Sheet** – Generally recommend SMS/email only as supplemental (since they can be intercepted).","Relevant if the app uses SMS or email in any auth capacity. If the app only uses password or hardware token and doesn’t use SMS/email at all, then N/A (nothing to check). If it does use them (for MFA or passwordless), check how.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","Users should be notified after credential/email changes or risky log ins (ideally push notifications)","FALSE","","","","2.2.3","When there’s a critical account change (password change, added MFA device, changed email) or a suspicious login (like new device or location), the user should receive a notification. This could be via email or push notification. The idea is to alert the legitimate user of potentially unauthorized changes or access, so they can respond if it wasn’t them.","Manual steps: Perform a sensitive action on a test account: change the password, or change the account’s email address, or register a new device (if applicable). Then check that account’s email (or SMS or mobile app notifications) to see if any alert was sent.; Also test a login from a device or location not used before (if the app tracks that). This can be tricky: you may simulate by using a VPN from a different region or a different browser (to look like a new device). See if an email like 'We noticed a new login from X' arrives.; If the application has configurable security alerts, make sure they’re enabled for the test. If none of these actions triggers any notification, that’s a gap. Tools: Temporary Email or SMS receiver, VPN/Proxy Combo: This aligns with an **Account Monitoring Pack**: after testing changes like password resets (which you do for functionality), you simultaneously verify if a notification was generated. Combine with testing password reset flow – when you actually reset a password, did the user get an email saying 'Your password was changed'? They should.","- **OWASP ASVS 4.0** – V2.2.3: Requires notification of such events (password resets, account changes) as a security measure.
- **NIST SP 800-63B** – Suggests tying such events to risk-based authentication; though not explicit, it’s industry best practice (e.g., section on 'Secure your account' notifications).","Applies to any application with user accounts. Particularly critical for high-value accounts. If an app has absolutely no mechanism to contact users (some anonymous systems?), maybe N/A. But generally, if users have emails or phone on record, this should be done.","","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","Anti-impersonation measures should be in place (e.g. MFA, yubikey, client-side TLS)","FALSE","","","","2.2.4","There should be controls to prevent impersonation of legitimate users even if primary credentials are stolen. This typically means offering multi-factor authentication (MFA) or client certificates or other second factors, especially for sensitive or privileged accounts. Essentially, the app should have an option or requirement for stronger auth beyond just password to ensure the user is really who they claim.","Manual steps: Determine if the application supports multi-factor authentication: check account settings or login page for an option to enroll a second factor (like Google Authenticator, SMS code, hardware token).; If available, try enrolling an MFA factor with a test account. Verify that after enrollment, login requires that second factor. Try logging in with just username/password and ensure it now prompts for the MFA code.; For client-side TLS (client certificates), this is usually in very high-security environments. If the app supports it, you’d know via documentation or initial handshake. To test, you’d attempt to access without a client cert and see if denied vs. with a valid client cert installed in browser. This is uncommon for general web apps. Tools: Browser or Authenticator app, OpenSSL (for client certs) Combo: This is part of **Authentication Hardening Pack**: see if features like MFA are present and effective. Combined with earlier brute-force tests and notifications to give a full picture of auth strength. For instance, after trying brute force, you conclude: 'Even if attacker guesses password, they’d still need the second factor (MFA), which is good.' If no MFA, you highlight that absence.","- **OWASP ASVS** – V2.2.4: Emphasizes multifactor or similar mechanisms against impersonation (tie with Level 2/3 requirements for sensitive operations).
- **NIST SP 800-63B** – Defines Authenticator Assurance Levels; for higher assurance (AAL2/3) requires MFA (something you have like Yubikey, etc.):contentReference[oaicite:100]{index=100}:contentReference[oaicite:101]{index=101}.","Applicable to apps protecting sensitive data or functions. At ASVS Level 2+, it’s recommended for all, and Level 1 maybe not strictly required. If the app is a low-risk public forum maybe MFA is optional. But certainly for anything financial, personal data, or admin access, MFA should be present. Mark N/A only if the context truly doesn’t need it (rare in modern view), or if an external IdP handles MFA (then the app itself doesn't, but IdP should - you'd note that).","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","When a credential service provider (CSP) and app verifying authentication are separate they should use mTLS","FALSE","","","","2.2.5","If the application relies on an external authentication service or identity provider (like OAuth server, SSO service), the communication between the app and that service should be secured with mutual TLS. This ensures the app is actually talking to the legit auth service and vice versa, preventing MITM or impersonation between them. Essentially, strong authentication at the service-to-service level.","Manual steps: Determine if the app delegates auth to a CSP (Credential Service Provider), e.g., using OAuth/OIDC (logging in via Google, or a central SSO microservice). If yes, identify how tokens/credentials flow between them.; Check the integration architecture: does the app call an API at the CSP to verify tokens or user info? If you have network visibility (maybe through browser developer tools or a proxy), see if calls to the auth service are over HTTPS. Mutual TLS specifically might not be visible client-side – it’s usually server-to-server.; This might be more of an architecture review item. Ask or inspect if the server config uses client certificates to authenticate to the auth provider. In a pentest without source or config access, you might rely on documentation or signs (like needing a client cert to call an internal IdP endpoint, which you might not have as a tester). Tools: Configuration review or documentation, Network analysis Combo: This is an **Architecture Security Pack** item. It goes along with verifying the design: combine it with checks on how session tokens are stored, how backend calls are authenticated, etc. Likely done during threat modeling or architecture review rather than dynamic testing.","- **OWASP ASVS** – V2.2.5: If using third-party or separate auth servers, mutual TLS is recommended to protect the token/token validation channel.
- **NIST Special Pub 800-63C** – Federation between IdP and RP should happen over authenticated protected channels (though not explicitly mTLS, but it implies strong server authentication on both ends).","Only applicable if there is a separate credential service/identity provider. If auth is entirely in-app (like checking a local DB), then N/A. If using OAuth, SAML, LDAP, etc, this applies – ensure the channel is mutually authenticated. If not using any remote auth service, mark N/A.","","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","Verify replay resistence through OTP devices/authentcators or lookup code","FALSE","","","","2.2.6","Any one-time passwords (OTPs) or verification codes used for authentication must be replay-resistant. This means once an OTP or code is used, it cannot be used again (and ideally expires quickly). Also, authenticator devices (like TOTP apps or hardware tokens) inherently provide replay resistance by generating new codes each time. Essentially, ensure the system doesn't accept an OTP more than once or outside its valid window, preventing an attacker from capturing and reusing an OTP.","Manual steps: If the application uses one-time codes (for MFA or password reset or any auth step), perform a test: use a code correctly once, then immediately try using the same code again (maybe by submitting it twice, or intercepting the request and replaying it). It should be rejected the second time.; If codes have a time window (like TOTP valid for 30s), try using it once within the window, then again shortly after. The second attempt should fail if the server marks it as used.; For backup codes (lookup codes that are meant to be used once each), use one and then attempt to reuse it. It should be invalid on second use. Tools: Burp Repeater, Automation Script Combo: Include in **MFA/OOB Security Pack**: along with checking code expiration (2.7.2, 2.7.3) you check one-time use here. For instance, after doing 2.7.3 (one-time use only), you effectively cover replay resistance. They are very related (avoid reuse=replay resistance).","- **NIST SP 800-63B** – Requires OTPs to be implemented as one-time (either single-use or limited time window) and some form of replay detection at verifier:contentReference[oaicite:102]{index=102}:contentReference[oaicite:103]{index=103}.
- **OWASP ASVS** – V2.2.6: specifically calls for replay resistance (no reuse of OTPs or codes).","This applies wherever one-time or single-use codes are used in authentication. If the app doesn’t use OTPs at all, then N/A. If it does (for MFA, resets, etc.), must test. Also consider push notifications that require user approve/deny – those aren’t 'codes' but the idea is similar (can't replay an approval if it’s tied to one event). Usually fine.","https://owasp.org/www-project-application-security-verification-standard/","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticators","Verify intent to authenticate through entry of an OTP token or button press on FIDO hardware","FALSE","","","","2.2.7","The multi-factor authentication process should ensure user presence/intent. That means the user has to do something interactive (enter a one-time code, or physically touch their security key) to confirm they are authenticating. This prevents scenarios where an authentication could be completed without the user’s active participation (for example, malware triggering a biometric or a stored token without user knowing). Essentially, the second factor must involve user action.","Manual steps: If using TOTP or SMS codes, the requirement is inherently met because the user must retrieve and enter the code (that shows intent). So just note that if OTP is used, user input of it demonstrates intent.; If using hardware tokens (YubiKey, etc.), test that you actually have to tap the YubiKey or biometric for it to send the credential. Many keys will not send the response unless touched. Ensure that's the case (most FIDO2 keys enforce it by design).; If there's any authentication flow that might automatically proceed (for instance, some password managers can autofill OTPs, or some device stored credentials might auto-send), consider whether user presence is checked. Typically, hardware tokens always require press, so it's fine. Tools: Observation, Documentation Combo: Part of **MFA Behavior Pack**: test 2.2.6 (replay) and 2.2.7 (intent) together. E.g., observe that the user had to enter a code or tap something – that covers intent, and earlier you checked that code can't be reused.","- **NIST SP 800-63B** – Mentions user SHOULD demonstrate intent to authenticate (like requiring a user gesture on security device):contentReference[oaicite:104]{index=104}.
- **FIDO U2F/UAF specs** – Require a user gesture (touching the key) to prevent silent authentication by malware. ASVS aligns with that philosophy.","Applies if multi-factor authentication is used and one of the factors could be automated. E.g., for FIDO keys or OTP, ensure there's a user step. If the app only has password (single factor), this is sort of moot (N/A, because there's no second factor). So applicable only when a second factor exists or is expected.","https://pages.nist.gov/800-63-3/sp800-63b.html","","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticator Lifecycle","Initial passwords/auth codes should be random, 6+ char long and expire","FALSE","","","","2.3.1","Todo: Description","Todo: Tools","Todo: Links","Todo: Applicability","Todo: Sources","Todo: Tags","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticator Lifecycle","U2F/FIDO MFA devices should be enrollable","FALSE","","","","2.3.2","Todo: Description","Todo: Tools","Todo: Links","Todo: Applicability","Todo: Sources","Todo: Tags","2","FALSE",""
"Authentication Verification Requirements (V2)","Authenticator Lifecycle","Authenticator renewal instructions should be sent with sufficient time to renew time-based authenticators","FALSE","","","","2.3.3","Todo: Description","Todo: Tools","Todo: Links","Todo: Applicability","Todo: Sources","Todo: Tags","2","FALSE",""
"Authentication Verification Requirements (V2)","Credential Storage","Passwords should be hashed, salted using an approved one way hashing algorithm (e.g. not MD5)","FALSE","","","","2.4.1","Todo: Description","Todo: Tools","Todo: Links","Todo: Applicability","Todo: Sources","Todo: Tags","2","FALSE",""
